fit_rank,app_id,name,release_date,genres,top_matching_tags,price_cents,price_usd,price_band,review_score,total,owners_range,owners_mid,performance_score,profile_fit_score,priority_score,evidence_tier,in_winner_cohort,in_top50_reference
1,418030,Subsistence,2016-10-25,"Action, Early Access","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Difficult, Building",1399,13.99,$10-14.99,6,12640,"500,000 - 1,000,000",750000,-0.5905,100.0,81.97,high,0,0
2,648800,Raft,2022-06-20,"Adventure, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Massively Multiplayer",1999,19.99,$15-19.99,8,325895,"10,000,000 - 20,000,000",15000000,1.8502,99.15,94.38,high,1,0
3,526160,The Wild Eight,2019-10-03,"Action, Adventure, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Difficult, Survival",2499,24.99,$20-29.99,6,7257,"200,000 - 500,000",350000,-0.9711,98.52,79.23,high,0,0
4,387990,Scrap Mechanic,2016-01-19,"Action, Adventure, Early Access, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Moddable, Sandbox, Open World, Building, Survival",1999,19.99,$15-19.99,8,109355,"5,000,000 - 10,000,000",7500000,1.2971,98.18,90.99,high,1,0
5,1159690,Voidtrain,2023-05-09,"Action, Adventure, Early Access, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",2999,29.99,$20-29.99,6,5053,"200,000 - 500,000",350000,-1.0987,96.43,77.52,high,0,0
6,322330,Don't Starve Together,2016-04-21,"Action, Adventure, Indie, RPG, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Difficult, Survival",1499,14.99,$10-14.99,9,469493,"20,000,000 - 50,000,000",35000000,2.4687,96.18,96.15,high,1,1
7,393420,Hurtworld,2019-12-10,"Action, Adventure, Simulation","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Crafting",2499,24.99,$20-29.99,6,31203,"500,000 - 1,000,000",750000,-0.2721,95.18,81.24,high,0,0
8,526870,Satisfactory,,"Aventure, Indépendant, Simulation, Stratégie","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building",3999,39.99,$30-39.99,9,191628,"5,000,000 - 10,000,000",7500000,1.7787,94.84,91.85,high,1,0
9,951440,Volcanoids,2019-01-29,"Action, Adventure, Early Access, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",1999,19.99,$15-19.99,8,8503,"200,000 - 500,000",350000,-0.3473,93.89,80.2,high,0,0
10,983870,FOUNDRY,2024-05-02,"Early Access, Indie, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Moddable, Sandbox, Open World, Building, Base Building",2999,29.99,$20-29.99,8,1854,"200,000 - 500,000",350000,-0.8838,93.21,77.04,medium,0,0
11,496460,Life is Feudal: Forest Village,2017-05-26,"Indie, Simulation, Strategy","Co-op, Multiplayer, Sandbox, Open World, Building, Survival, Base Building, Crafting",2499,24.99,$20-29.99,5,5800,"200,000 - 500,000",350000,-1.3341,93.06,74.59,high,0,0
12,299740,Miscreated,2018-12-18,"Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation, Strategy","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Massively Multiplayer, Survival, Crafting",2999,29.99,$20-29.99,5,31669,"500,000 - 1,000,000",750000,-0.551,92.87,78.62,high,0,0
13,250400,How to Survive,2014-08-29,"Action, Adventure, RPG","Co-op, Online Co-Op, Multiplayer, Open World, Open World Survival Craft, Survival, Local Co-Op, Crafting",1499,14.99,$10-14.99,8,16960,"1,000,000 - 2,000,000",1500000,0.2495,92.15,82.46,high,0,0
14,346110,ARK: Survival Evolved,,"Инди, Многопользовательские игры, Приключенческие игры, Ролевые игры, Экшены","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Massively Multiplayer, Survival",1499,14.99,$10-14.99,8,705816,"20,000,000 - 50,000,000",35000000,2.3283,91.93,93.28,high,1,1
15,252490,Rust,2018-02-08,"Action, Adventure, Indie, Massively Multiplayer, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",3999,39.99,$30-39.99,8,1116345,"20,000,000 - 50,000,000",35000000,2.4899,91.84,94.09,high,1,1
16,2292720,EDEN: Create World,2023-02-28,"Action, Indie, Massively Multiplayer, Simulation","Co-op, Online Co-Op, Multiplayer, Moddable, Sandbox, Open World, Building, Massively Multiplayer",999,9.99,$5-9.99,5,39,"0 - 20,000",10000,-3.9513,91.52,60.06,low,0,0
17,290080,Life is Feudal: Your Own,2015-11-17,"Action, Indie, RPG, Simulation","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Massively Multiplayer, Survival",1999,19.99,$15-19.99,5,11937,"200,000 - 500,000",350000,-1.0799,91.24,75.02,high,0,0
18,574180,Rem Survival,2021-03-05,"Action, Adventure, Early Access, Indie, Massively Multiplayer, RPG, Simulation","Co-op, Multiplayer, Open World, Open World Survival Craft, Building, Massively Multiplayer, Survival, Base Building",1599,15.99,$15-19.99,6,781,"20,000 - 50,000",35000,-2.3155,91.16,68.48,medium,0,0
19,1129580,Medieval Dynasty,,"Action, Adventure, Indie, RPG, Simulation","Co-op, Multiplayer, Sandbox, Open World, Building, Survival, Base Building, Crafting",2449,24.49,$20-29.99,8,40801,"1,000,000 - 2,000,000",1500000,0.5588,90.91,83.47,high,1,0
20,815370,Green Hell,2019-09-05,"Action, Adventure, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",824,8.24,$5-9.99,8,72562,"2,000,000 - 5,000,000",3500000,0.9675,90.9,85.61,high,1,0
21,1355780,Crushed,2020-11-23,"Action, Early Access, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",999,9.99,$5-9.99,5,223,"0 - 20,000",10000,-3.3444,90.69,62.84,low,0,0
22,331500,Executive Assault,2015-07-17,"Action, Strategy","Co-op, Great Soundtrack, Multiplayer, Sandbox, Open World, Survival, Base Building, FPS",1299,12.99,$10-14.99,8,1448,"100,000 - 200,000",150000,-1.1766,90.59,74.19,medium,0,0
23,24240,PAYDAY™ The Heist,2011-10-20,Action,"Co-op, Great Soundtrack, Online Co-Op, Multiplayer, Difficult, Team-Based, FPS, First-Person",1499,14.99,$10-14.99,8,39999,"2,000,000 - 5,000,000",3500000,0.7576,90.48,84.3,high,1,0
24,677480,Outpost Zero,2019-07-25,"Action, Adventure, Indie, Simulation","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building",1999,19.99,$15-19.99,5,828,"100,000 - 200,000",150000,-2.2255,90.47,68.61,medium,0,0
25,1519090,Welcome to ParadiZe,2024-02-29,"Action, Adventure, RPG","Co-op, Online Co-Op, Multiplayer, Open World, Open World Survival Craft, Survival, Base Building, Crafting",2999,29.99,$20-29.99,5,1000,"50,000 - 100,000",75000,-2.3274,90.37,68.02,medium,0,0
26,581320,Insurgency: Sandstorm,2018-12-12,Action,"Co-op, Online Co-Op, Multiplayer, Open World, Difficult, Massively Multiplayer, Gore, FPS",989,9.89,$5-9.99,8,122437,"2,000,000 - 5,000,000",3500000,1.1518,90.02,86.14,high,1,0
27,351290,SURVIVAL: Postapocalypse Now,2019-12-03,"Action, Adventure, Indie, Massively Multiplayer, Simulation","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Massively Multiplayer, Survival",1499,14.99,$10-14.99,5,8929,"100,000 - 200,000",150000,-1.388,89.9,72.73,high,0,0
28,280520,Crea,2016-06-09,"Action, Adventure, Indie, RPG","Co-op, Great Soundtrack, Multiplayer, Moddable, Sandbox, Open World, Open World Survival Craft, Building",1499,14.99,$10-14.99,6,1388,"50,000 - 100,000",75000,-1.9279,89.81,69.85,medium,0,0
29,105600,Terraria,,"Инди, Приключенческие игры, Ролевые игры, Экшены","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",999,9.99,$5-9.99,9,1339632,"20,000,000 - 50,000,000",35000000,2.8381,89.71,94.85,high,1,1
30,1852180,Undercraft,2022-10-17,"Action, Adventure, Early Access, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",1999,19.99,$15-19.99,0,2,"0 - 20,000",10000,-6.2841,89.57,46.82,low,0,0
31,313120,Stranded Deep,2022-08-10,"Adventure, Indie","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Crafting",1999,19.99,$15-19.99,6,44648,"1,000,000 - 2,000,000",1500000,0.0225,89.4,79.9,high,0,0
32,2285150,The Front,2023-10-11,"Action, Early Access, Indie, Massively Multiplayer, Simulation","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Massively Multiplayer, Survival",1999,19.99,$15-19.99,5,9097,"200,000 - 500,000",350000,-1.1756,89.3,73.55,high,0,0
33,803050,Per Aspera,2020-12-03,"Indie, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Moddable, Sandbox, Building, Survival, Base Building",2999,29.99,$20-29.99,6,5270,"200,000 - 500,000",350000,-1.0838,89.08,73.92,high,0,0
34,1307550,Craftopia,2020-09-04,"Action, Adventure, Early Access, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",2499,24.99,$20-29.99,6,19231,"1,000,000 - 2,000,000",1500000,-0.2743,89.0,78.13,high,0,0
35,1377380,Night of the Dead,2024-05-31,"Action, Adventure, Indie, RPG, Simulation","Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building",2999,29.99,$20-29.99,6,10889,"200,000 - 500,000",350000,-0.8282,88.84,75.14,high,0,0
36,16900,GROUND BRANCH,2018-08-14,"Action, Early Access, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Team-Based, FPS, First-Person, War",2999,29.99,$20-29.99,8,20028,"1,000,000 - 2,000,000",1500000,0.3081,88.8,81.1,high,1,0
37,591740,Sniper Fury,2017-06-13,"Action, Free To Play","Co-op, Great Soundtrack, Online Co-Op, Multiplayer, Open World, Massively Multiplayer, Gore, Funny",0,0.0,free,5,2695,"500,000 - 1,000,000",750000,-1.419,88.75,71.99,medium,0,0
38,366090,Colony Survival,2017-06-16,"Action, Adventure, Early Access, Indie, Strategy","Co-op, Multiplayer, Sandbox, Open World, Building, Survival, Base Building, Crafting",2495,24.95,$20-29.99,8,7809,"200,000 - 500,000",350000,-0.3773,88.72,77.45,high,0,0
39,768200,Smalland: Survive the Wilds,2024-02-15,"Action, Adventure, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",3499,34.99,$30-39.99,8,7319,"200,000 - 500,000",350000,-0.4001,88.72,77.33,high,0,0
40,1326470,Sons Of The Forest,2024-02-22,"Action, Adventure, Indie, Simulation","Co-op, Multiplayer, Sandbox, Open World, Building, Survival, Base Building, Crafting",2999,29.99,$20-29.99,8,207293,"5,000,000 - 10,000,000",7500000,1.5224,88.7,87.43,high,1,0
41,351100,Niffelheim,2018-09-26,"Action, Adventure, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Survival, Base Building",1999,19.99,$15-19.99,6,2258,"50,000 - 100,000",75000,-1.7566,88.28,69.98,medium,0,0
42,327090,Out of Reach,2018-07-13,"Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Massively Multiplayer, Survival",1499,14.99,$10-14.99,5,3032,"50,000 - 100,000",75000,-1.9368,88.04,68.91,medium,0,0
43,457140,缺氧,,"模拟, 独立","Multiplayer, Sandbox, Open World, Difficult, Building, Survival, Base Building, Colony Sim",2499,24.99,$20-29.99,9,119931,"2,000,000 - 5,000,000",3500000,1.4285,87.84,86.51,high,1,0
44,2184150,Dead Matter,2023-09-15,"Action, Early Access, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Survival, Base Building, FPS",1999,19.99,$15-19.99,4,783,"0 - 20,000",10000,-3.187,87.73,62.18,medium,0,0
45,1228910,Ragdoll Party Online,2021-08-03,"Action, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Moddable, Sandbox, Building, Massively Multiplayer, Funny",499,4.99,$0.01-4.99,5,36,"0 - 20,000",10000,-3.9788,87.61,57.96,low,0,0
46,1016360,PERISH,2023-02-02,"Action, Indie","Co-op, Great Soundtrack, Online Co-Op, Multiplayer, Difficult, Gore, FPS, First-Person",1999,19.99,$15-19.99,6,507,"20,000 - 50,000",35000,-2.4675,87.6,65.9,medium,0,0
47,895400,Deadside,2020-04-14,"Action, Adventure, Early Access, Indie, Massively Multiplayer","Co-op, Online Co-Op, Multiplayer, Open World, Open World Survival Craft, Massively Multiplayer, Survival, Base Building",2499,24.99,$20-29.99,6,34895,"500,000 - 1,000,000",750000,-0.2327,87.59,77.65,high,0,0
48,982760,Medieval Towns,2019-03-15,"Action, Adventure, Early Access, Indie, Massively Multiplayer","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Massively Multiplayer, Survival",1999,19.99,$15-19.99,5,23,"0 - 20,000",10000,-4.1313,87.52,57.11,low,0,0
49,1169040,Necesse,2019-12-12,"Action, Adventure, Early Access, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",1499,14.99,$10-14.99,8,13746,"500,000 - 1,000,000",750000,0.0071,86.73,78.48,high,0,0
50,344760,Reign Of Kings,2015-12-15,"Action, Adventure, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",999,9.99,$5-9.99,5,14946,"500,000 - 1,000,000",750000,-0.8155,86.57,74.07,high,0,0
51,538100,Feel The Snow,2019-12-12,"Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Survival, Crafting",1299,12.99,$10-14.99,8,2873,"50,000 - 100,000",75000,-1.1037,86.52,72.53,medium,0,0
52,342480,Gunscape,2016-03-01,"Action, Indie","Co-op, Multiplayer, Sandbox, Open World, Building, Survival, Local Co-Op, FPS",1999,19.99,$15-19.99,5,1256,"100,000 - 200,000",150000,-2.0788,86.47,67.38,medium,0,0
53,2293680,Crestfallen: Medieval Survival,2024-07-17,"Action, Adventure, Early Access, Indie, Massively Multiplayer, RPG, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",1199,11.99,$10-14.99,5,374,"20,000 - 50,000",35000,-2.8585,86.46,63.28,low,0,0
54,275850,No Man's Sky,2016-08-12,"Action, Adventure","Multiplayer, Sandbox, Open World, Open World Survival Craft, Survival, Crafting, FPS, First-Person",2399,23.99,$20-29.99,8,320637,"5,000,000 - 10,000,000",7500000,1.6761,86.44,87.11,high,1,0
55,324510,Boundless,2018-09-11,"Action, Adventure, Indie, Massively Multiplayer, RPG","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Massively Multiplayer, Survival",1999,19.99,$15-19.99,6,2732,"100,000 - 200,000",150000,-1.5211,86.34,70.25,medium,0,0
56,305620,The Long Dark,2017-08-01,"Adventure, Indie, Simulation, Strategy","Co-op, Sandbox, Open World, Open World Survival Craft, Difficult, Survival, Crafting, Survival Horror",1999,19.99,$15-19.99,8,103871,"2,000,000 - 5,000,000",3500000,1.0938,86.2,83.93,high,1,0
57,736220,Squad 44,2018-08-09,"Action, Indie, Massively Multiplayer, Strategy","Co-op, Multiplayer, Open World, Massively Multiplayer, Team-Based, FPS, First-Person, War",2999,29.99,$20-29.99,6,22742,"1,000,000 - 2,000,000",1500000,-0.2152,86.14,77.02,high,0,0
58,2283600,Cataclysm Upon Us,,"Action, Adventure, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,86.11,43.05,low,0,0
59,427520,Factorio,2020-08-14,"Casual, Indie, Simulation, Strategy","Co-op, Multiplayer, Moddable, Sandbox, Open World, Building, Survival, Base Building",3500,35.0,$30-39.99,9,187852,"5,000,000 - 10,000,000",7500000,1.7717,85.85,87.32,high,1,0
60,892970,Valheim,2021-02-02,"Action, Adventure, Early Access, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Difficult, Building",999,9.99,$5-9.99,8,468964,"20,000,000 - 50,000,000",35000000,2.1843,85.83,89.48,high,1,1
61,394760,Dead Effect 2,2016-05-06,"Action, Indie, RPG","Co-op, Great Soundtrack, Online Co-Op, Multiplayer, Open World, Survival, Gore, FPS",1199,11.99,$10-14.99,6,2235,"100,000 - 200,000",150000,-1.5918,85.82,69.62,medium,0,0
62,108600,Project Zomboid,2013-11-08,"Early Access, Indie, RPG, Simulation","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Crafting",1999,19.99,$15-19.99,8,325411,"10,000,000 - 20,000,000",15000000,1.8497,85.81,87.71,high,1,0
63,805270,Playcraft,2023-01-17,"Action, Adventure, Indie, Massively Multiplayer, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Building, Massively Multiplayer, Survival",1499,14.99,$10-14.99,6,726,"20,000 - 50,000",35000,-2.3412,85.75,65.64,medium,0,0
64,670260,Solace Crafting,2022-08-01,"Adventure, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",1499,14.99,$10-14.99,6,845,"50,000 - 100,000",75000,-2.1026,85.71,66.88,medium,0,0
65,2909870,The Legacy,,"Action, Adventure, Indie, Massively Multiplayer, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Building, Massively Multiplayer, Survival",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,85.65,42.83,low,0,0
66,855740,Bum Simulator,2023-05-12,"Action, Adventure, Indie, Simulation","Co-op, Sandbox, Open World, Building, Memes, Survival, Base Building, Crafting",1799,17.99,$15-19.99,8,3716,"100,000 - 200,000",150000,-0.8447,85.57,73.42,medium,0,0
67,335330,Brick-Force,2014-12-11,"Action, Free To Play","Co-op, Multiplayer, Sandbox, Open World, Building, Massively Multiplayer, Survival, Funny",0,0.0,free,5,3863,"1,000,000 - 2,000,000",1500000,-1.1238,85.44,71.89,medium,0,0
68,392110,ENDLESS™ Space 2,2017-05-18,Strategy,"Co-op, Great Soundtrack, Multiplayer, Moddable, Sandbox, Open World, War, Atmospheric",3999,39.99,$30-39.99,8,21719,"1,000,000 - 2,000,000",1500000,0.3366,85.43,79.56,high,1,0
69,2159650,Drift: Space Survival,2023-05-12,"Adventure, Early Access, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",1499,14.99,$10-14.99,6,66,"0 - 20,000",10000,-3.4856,85.38,59.44,low,0,0
70,599080,The Blackout Club,2019-07-29,"Action, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Survival, Survival Horror, FPS, First-Person, Simulation",2999,29.99,$20-29.99,6,2787,"100,000 - 200,000",150000,-1.5141,85.35,69.79,medium,0,0
71,739650,Drake Hollow,2020-10-01,"Action, Adventure, Indie","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Building, Survival, Base Building",2999,29.99,$20-29.99,6,1654,"100,000 - 200,000",150000,-1.6979,85.34,68.82,medium,0,0
72,568570,Force of Nature,2016-12-13,"Action, Adventure, Indie, RPG, Simulation, Strategy","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building",799,7.99,$5-9.99,6,4131,"200,000 - 500,000",350000,-1.1696,85.24,71.55,medium,0,0
73,1140130,Survival Vacancy,2021-02-19,"Indie, Simulation, Strategy","Co-op, Multiplayer, Sandbox, Open World Survival Craft, Building, Survival, Base Building, Crafting",1999,19.99,$15-19.99,5,88,"0 - 20,000",10000,-3.6696,85.13,58.35,low,0,0
74,402710,Osiris: New Dawn,2023-01-18,"Action, Adventure, Indie, RPG","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building",3499,34.99,$30-39.99,5,14874,"500,000 - 1,000,000",750000,-0.8172,85.12,73.34,high,0,0
75,647740,Airmen,2017-07-25,"Action, Indie, Massively Multiplayer, Strategy","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Building, Base Building, Crafting",1499,14.99,$10-14.99,6,348,"0 - 20,000",10000,-2.9041,85.07,62.34,low,0,0
76,257420,Serious Sam 4,2020-09-24,"Action, Adventure, Indie","Co-op, Great Soundtrack, Multiplayer, Open World, Difficult, Gore, FPS, First-Person",3999,39.99,$30-39.99,8,15205,"1,000,000 - 2,000,000",1500000,0.211,85.04,78.71,high,0,0
77,41070,Serious Sam 3: BFE,2011-11-22,"Action, Indie","Co-op, Online Co-Op, Multiplayer, Difficult, Local Co-Op, Gore, Funny, FPS",2999,29.99,$20-29.99,8,27107,"2,000,000 - 5,000,000",3500000,0.6205,84.96,80.82,high,1,0
78,641990,The Escapists 2,2017-08-21,"Indie, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Difficult, Local Co-Op, Crafting",539,5.39,$5-9.99,8,30559,"2,000,000 - 5,000,000",3500000,0.6628,84.72,80.92,high,1,0
79,1457320,Techtonica,2023-07-18,"Early Access, Indie, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Sandbox, Building, Base Building, Crafting, First-Person",2999,29.99,$20-29.99,8,2009,"100,000 - 200,000",150000,-1.0613,84.55,71.77,medium,0,0
80,700330,SCP: Secret Laboratory,2017-12-29,"Action, Free To Play","Co-op, Online Co-Op, Multiplayer, Difficult, Memes, Survival, Survival Horror, FPS",0,0.0,free,8,201389,"5,000,000 - 10,000,000",7500000,1.5122,84.47,85.26,high,1,0
81,1168870,Mists of Noyah,2022-05-22,"Action, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Difficult, Survival, Crafting",1999,19.99,$15-19.99,5,745,"50,000 - 100,000",75000,-2.431,84.43,64.51,medium,0,0
82,1557340,SkyCraft,,"Adventure, Early Access, Indie, Massively Multiplayer, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Massively Multiplayer",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,84.43,42.22,low,0,0
83,342180,Arizona Sunshine®,2016-12-06,"Action, Adventure, Indie","Co-op, Online Co-Op, Multiplayer, Open World, Survival, Gore, Survival Horror, FPS",1999,19.99,$15-19.99,6,9148,"500,000 - 1,000,000",750000,-0.7044,84.33,73.54,high,0,0
84,441790,Fragmented,2017-08-15,"Action, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",999,9.99,$5-9.99,5,1958,"100,000 - 200,000",150000,-1.9225,84.25,67.09,medium,0,0
85,848450,Subnautica: Below Zero,2021-05-13,"Adventure, Indie","Multiplayer, Sandbox, Open World, Open World Survival Craft, Survival, Base Building, Crafting, Survival Horror",2999,29.99,$20-29.99,8,91170,"2,000,000 - 5,000,000",3500000,1.0479,84.15,82.66,high,1,0
86,361420,ASTRONEER,2019-02-05,"Adventure, Indie","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building",2999,29.99,$20-29.99,8,121176,"2,000,000 - 5,000,000",3500000,1.1481,84.12,83.17,high,1,0
87,360150,How To Survive: Third Person Standalone,2015-07-02,"Action, Adventure, RPG","Co-op, Multiplayer, Open World, Open World Survival Craft, Building, Survival, Crafting, Gore",999,9.99,$5-9.99,5,1250,"200,000 - 500,000",350000,-1.8747,84.12,67.28,medium,0,0
88,2442490,THE LAST BREATH,2023-07-25,"Action, Adventure, Indie, Strategy","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building",1199,11.99,$10-14.99,0,3,"0 - 20,000",10000,-6.1828,84.11,44.62,low,0,0
89,2262080,Omega Crafter,2024-03-28,"Action, Adventure, Early Access, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",2499,24.99,$20-29.99,8,337,"20,000 - 50,000",35000,-2.043,83.98,66.33,low,0,0
90,253430,CastleMiner Z,2014-02-03,"Action, Adventure, Indie, Violent","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Survival, Crafting",599,5.99,$5-9.99,8,10517,"500,000 - 1,000,000",750000,-0.0872,83.97,76.6,high,0,0
91,333950,Medieval Engineers,2015-02-19,"Action, Indie, Simulation, Strategy","Co-op, Multiplayer, Sandbox, Open World, Building, Survival, Crafting, Simulation",999,9.99,$5-9.99,5,7118,"200,000 - 500,000",350000,-1.262,83.95,70.42,high,0,0
92,1805110,Solarpunk,,"Adventure, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,83.73,41.87,low,0,0
93,285920,TerraTech,2018-08-10,"Action, Indie","Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Crafting",2499,24.99,$20-29.99,8,22400,"500,000 - 1,000,000",750000,0.1791,83.72,77.88,high,0,0
94,315460,Dig or Die,2018-07-10,"Action, Indie, RPG, Strategy","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building",1199,11.99,$10-14.99,8,4159,"200,000 - 500,000",350000,-0.5992,83.7,73.78,medium,0,0
95,794490,Journey Of Life,2021-02-01,"Action, Adventure, Casual, Indie, RPG, Simulation","Co-op, Multiplayer, Sandbox, Open World, Building, Survival, Base Building, Crafting",1499,14.99,$10-14.99,5,747,"50,000 - 100,000",75000,-2.43,83.62,64.11,medium,0,0
96,233450,Prison Architect,,"Инди, Симуляторы, Стратегии","Multiplayer, Moddable, Sandbox, Building, Base Building, Replay Value, Funny, Colony Sim",2999,29.99,$20-29.99,8,70105,"5,000,000 - 10,000,000",7500000,1.1404,83.48,82.81,high,1,0
97,1488310,Renown,,"Action, Adventure, Indie, Simulation","Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Massively Multiplayer, Survival",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,83.45,41.73,low,0,0
98,511430,CrossWorlds: Escape,2020-03-20,"Adventure, Indie, Simulation","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Difficult, Survival, Base Building",539,5.39,$5-9.99,5,150,"0 - 20,000",10000,-3.4833,83.4,58.46,low,0,0
99,222880,Insurgency,2014-01-22,"Action, Indie, Strategy","Co-op, Online Co-Op, Multiplayer, Team-Based, Competitive, FPS, First-Person, War",1499,14.99,$10-14.99,8,124947,"2,000,000 - 5,000,000",3500000,1.1589,83.38,82.86,high,1,0
100,447820,Day of Infamy,2017-03-23,"Action, Indie, Strategy","Co-op, Online Co-Op, Multiplayer, Open World, Gore, FPS, First-Person, War",1499,14.99,$10-14.99,8,22019,"1,000,000 - 2,000,000",1500000,0.3415,83.36,78.55,high,1,0
