rank,source,app_id,name,release_year,developer,genres,key_tags,price_cents,price_usd,price_band,review_score,total,owners_range,pct_positive,metacritic,units_millions,revenue_musd,peak_ccu,performance_score,profile_fit_score,scale_tier,gamepass_status,evidence_strength,source_url
13,web_2025_2026,,Absolum,2025,"Guard Crush Games, Supamonks","Action, Indie","Roguelite, Beat em up, 2D, Hand-drawn, Co-op",,,,,,,,86,,,,,,indie,unverified,strong,https://outrungaming.com/the-25-best-indie-games-of-2025/
14,web_2025_2026,,The Alters,2025,11 bit studios,"Adventure, Indie, Simulation","Survival, Sci-fi, Base Building, Story Rich, Management",,,,,,,,85,,,,,,indie,unverified,strong,https://outrungaming.com/the-25-best-indie-games-of-2025/
15,web_2025_2026,,CloverPit,2025,Panik Arcade,"Casual, Indie","Roguelite, Horror, Gambling, Deckbuilder, Singleplayer",,,,,,,,77,,,,,,indie,unverified,medium,https://outrungaming.com/the-25-best-indie-games-of-2025/
16,web_2025_2026,,Despelote,2025,"Julian Cordero, Sebastian Valbuena","Adventure, Indie","Story Rich, Slice of Life, Football, Atmospheric, Short",,,,,,,,89,,,,,,indie,unverified,strong,https://outrungaming.com/the-25-best-indie-games-of-2025/
17,web_2025_2026,,"No, I'm not a Human",2025,Critical Reflex,"Adventure, Indie","Horror, Psychological Horror, Atmospheric, Story Rich, Singleplayer",,,,,,,,76,,,,,,indie,unverified,medium,https://outrungaming.com/the-25-best-indie-games-of-2025/
18,web_2025_2026,,Promise Mascot Agency,2025,Kaizen Game Works,"Adventure, Indie, Simulation","Open World, Management, Comedy, Story Rich, Anime",,,,,,,,77,,,,,,indie,unverified,medium,https://outrungaming.com/the-25-best-indie-games-of-2025/
19,web_2025_2026,,Tiny Bookshop,2025,Neoludic Games,"Casual, Indie, Simulation","Cozy, Management, Relaxing, Narrative, Singleplayer",,,,,,,,81,,,,,,indie,unverified,medium,https://outrungaming.com/the-25-best-indie-games-of-2025/
20,web_2025_2026,,Clair Obscur: Expedition 33,2025,Sandfall Interactive,"Adventure, RPG","Turn-Based Combat, Story Rich, JRPG, Atmospheric, Singleplayer",,,,,,,,92,8.0,,,,,AA,unverified,strong,https://voxbooster.com/blog/indie-game-statistics-2026/
21,web_2025_2026,,ARC Raiders,2025,Embark Studios,"Action, Adventure","Extraction Shooter, PvPvE, Co-op, Multiplayer, Sci-fi",,,,,,,,,,,,,,AA,unverified,strong,https://www.techspot.com/news/110753-steam-2025-best-sellers-show-indie-games-competing.html
22,web_2025_2026,,Meccha Chameleon,2026,"lemorion_1224, Haganeiro","Casual, Indie","Party Game, Multiplayer, Hide and Seek, Comedy, Co-op, Online Co-Op",479,4.79,$0.01-4.99,,,,,,15.0,,,,,indie,unverified,strong,https://www.windowscentral.com/gaming/the-viral-hit-of-2026-has-sold-15-million-copies-in-a-month-on-steam-costs-usd5-and-was-made-by-2-people
23,web_2025_2026,,Mina the Hollower,2026,Yacht Club Games,"Action, Adventure, Indie","Action-Adventure, Pixel Graphics, Top-Down, Retro, Singleplayer",1999,19.99,$15-19.99,,,,,,0.5,,,,,indie,unverified,strong,https://www.gamesradar.com/games/action/were-completely-blown-away-2026s-best-rated-game-sold-half-a-million-copies-in-its-first-week-and-the-indie-devs-behind-it-are-stunned/
24,web_2025_2026,,Mewgenics,2026,"Edmund McMillen, Tyler Glaiel","Indie, RPG, Strategy","Turn-Based Tactics, Roguelike, Cats, Dark Humor, Singleplayer",,,,,,,,,1.0,,115000,,,indie,unverified,strong,https://bykron.com/blogs/learn/biggest-game-launches-2026-sales-players
25,web_2025_2026,,Slay the Spire II,2026,Mega Crit,"Indie, Strategy","Roguelike Deckbuilder, Card Game, Turn-Based, Singleplayer, Replay Value",,,,,,,,,3.0,,400000,,,indie,unverified,strong,https://bykron.com/blogs/learn/biggest-game-launches-2026-sales-players
26,web_2025_2026,1062090,Timberborn,2026,Mechanistry,"Indie, Simulation, Strategy","City Builder, Base Building, Colony Sim, Survival, Sandbox",,,,9,27010,"1,000,000 - 2,000,000",,,,,,0.6975,3.793,indie,unverified,medium,https://screenrant.com/best-indie-games-june-2026/
27,web_2025_2026,,Esoteric Ebb,2026,Christoffer Bodegard,"Indie, RPG","CRPG, Story Rich, Dice, Isometric, Choices Matter",,,,,,,,,,,,,,indie,unverified,medium,https://screenrant.com/best-indie-games-june-2026/
28,web_2025_2026,,Cairn,2026,The Game Bakers,"Adventure, Indie","Survival, Climbing, Exploration, Singleplayer, Atmospheric",,,,,,,,,,,,,,indie,unverified,medium,https://screenrant.com/best-indie-games-june-2026/
29,web_2025_2026,,Mixtape,2026,Beethoven & Dinosaur,"Adventure, Indie","Story Rich, Coming-of-age, Music, Narrative, Singleplayer",,,,,,,,,,,,,,indie,unverified,medium,https://screenrant.com/best-indie-games-june-2026/
30,web_2025_2026,,Dead as Disco,2026,Sonderlust Studios,"Action, Indie","Rhythm, Beat em up, Fighting, Stylized, Singleplayer",,,,,,,,,,,,,,indie,unverified,medium,https://www.gametubing.com/10-indie-steam-games-from-2026-with-overwhelmingly-positive-reviews/
31,steam_snapshot_2024,105600,Terraria,,,"Инди, Приключенческие игры, Ролевые игры, Экшены","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft",999,9.99,$5-9.99,9,1339632,"20,000,000 - 50,000,000",,,,,,2.8381,13.2521,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
32,steam_snapshot_2024,4000,Garry's Mod,2006,,"Casual, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Moddable, Sandbox, Building",999,9.99,$5-9.99,9,1104711,"20,000,000 - 50,000,000",,,,,,2.7702,10.6552,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
33,steam_snapshot_2024,413150,Stardew Valley,,,"Инди, Ролевые игры, Симуляторы","Great Soundtrack, Multiplayer, Sandbox, Open World, Building, Crafting",1499,14.99,$10-14.99,9,769592,"20,000,000 - 50,000,000",,,,,,2.6428,7.4567,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
34,steam_snapshot_2024,242760,The Forest,2018,,"Action, Adventure, Indie, Simulation","Sandbox, Open World, Open World Survival Craft, Building, Survival, Crafting",1999,19.99,$15-19.99,9,559659,"20,000,000 - 50,000,000",,,,,,2.5306,11.0618,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
35,steam_snapshot_2024,252490,Rust,2018,,"Action, Adventure, Indie, Massively Multiplayer, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft",3999,39.99,$30-39.99,8,1116345,"20,000,000 - 50,000,000",,,,,,2.4899,13.957,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
36,steam_snapshot_2024,322330,Don't Starve Together,2016,,"Action, Adventure, Indie, RPG, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft",1499,14.99,$10-14.99,9,469493,"20,000,000 - 50,000,000",,,,,,2.4687,15.392,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
37,steam_snapshot_2024,227300,Euro Truck Simulator 2,,,"Инди, Симуляторы","Multiplayer, Moddable, Open World, Management, Simulation, Atmospheric",1999,19.99,$15-19.99,9,770020,"10,000,000 - 20,000,000",,,,,,2.4372,5.0239,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
38,steam_snapshot_2024,304930,Unturned,2017,,"Action, Adventure, Casual, Free To Play, Indie","Co-op, Multiplayer, Sandbox, Open World, Massively Multiplayer, Survival",0,0.0,free,8,546973,"50,000,000 - 100,000,000",,,,,,2.4237,7.6815,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
39,steam_snapshot_2024,739630,Phasmophobia,2020,,"Action, Early Access, Indie","Co-op, Online Co-Op, Multiplayer, First-Person, Horror, Tactical",1999,19.99,$15-19.99,9,713927,"10,000,000 - 20,000,000",,,,,,2.4105,4.1757,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
40,steam_snapshot_2024,346110,ARK: Survival Evolved,,,"Инди, Многопользовательские игры, Приключенческие игры, Ролевые игры, Экшены","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building",1499,14.99,$10-14.99,8,705816,"20,000,000 - 50,000,000",,,,,,2.3283,13.9866,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
41,steam_snapshot_2024,1966720,Lethal Company,2023,,"Action, Adventure, Early Access, Indie","Co-op, Online Co-Op, Funny, Survival Horror, First-Person, Horror",999,9.99,$5-9.99,9,439231,"10,000,000 - 20,000,000",,,,,,2.2394,2.742,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
42,steam_snapshot_2024,1623730,Palworld,2024,,"Action, Adventure, Early Access, Indie, RPG","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Survival",2999,29.99,$20-29.99,8,322331,"50,000,000 - 100,000,000",,,,,,2.2373,7.0128,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
43,steam_snapshot_2024,892970,Valheim,2021,,"Action, Adventure, Early Access, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft",999,9.99,$5-9.99,8,468964,"20,000,000 - 50,000,000",,,,,,2.1843,11.9701,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
44,steam_snapshot_2024,367520,Hollow Knight,,,"冒险, 动作, 独立","Great Soundtrack, Open World, Difficult, Atmospheric, Souls-like, Story Rich",1499,14.99,$10-14.99,9,373802,"10,000,000 - 20,000,000",,,,,,2.1826,4.1017,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
45,steam_snapshot_2024,250900,The Binding of Isaac: Rebirth,,,Action,"Co-op, Great Soundtrack, Difficult, Local Co-Op, Replay Value, Gore",1499,14.99,$10-14.99,9,303258,"10,000,000 - 20,000,000",,,,,,2.1089,9.4506,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
46,steam_snapshot_2024,291550,Brawlhalla,2017,,"Action, Free To Play, Indie","Co-op, Online Co-Op, Multiplayer, Local Co-Op, Local Multiplayer, 4 Player Local",0,0.0,free,8,374122,"20,000,000 - 50,000,000",,,,,,2.1047,2.3434,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
47,steam_snapshot_2024,264710,Subnautica,,,"Aventura, Indie","Multiplayer, Sandbox, Open World, Open World Survival Craft, Survival, Base Building",2999,29.99,$20-29.99,9,286125,"5,000,000 - 10,000,000",,,,,,1.92,11.0829,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
48,steam_snapshot_2024,1145360,Hades,2020,,"Action, Indie, RPG","Great Soundtrack, Difficult, Replay Value, Hack and Slash, Atmospheric, Roguelite",2499,24.99,$20-29.99,9,268739,"5,000,000 - 10,000,000",,,,,,1.8979,5.3243,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
49,steam_snapshot_2024,1118200,People Playground,2019,,"Action, Casual, Indie, Simulation","Moddable, Sandbox, Building, Gore, Funny, Blood",999,9.99,$5-9.99,9,261940,"5,000,000 - 10,000,000",,,,,,1.8889,4.9592,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
50,steam_snapshot_2024,251570,7 Days to Die,2024,,"Action, Adventure, Indie, RPG, Simulation, Strategy","Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building",4499,44.99,$40+,8,341194,"10,000,000 - 20,000,000",,,,,,1.8664,11.0452,indie,unverified,strong,"data/raw (SteamSpy + Steam reviews snapshot, Dec 2024)"
